'09/24/2015',261
'09/24/2010',158
'08/11/2012',252
'03/30/2013',164
'03/30/2014',118
'08/11/2014',146
'04/09/2012',64
'02/25/2012',81
'02/25/2011',49
'10/04/2012',101
'09/06/2013',191
'05/13/2012',278
'10/04/2011',44
'05/13/2015',135
'10/27/2013',219
'09/06/2015',662
'04/09/2011',128
'01/18/2015',234
'02/26/2011',97
'01/18/2016',68
'02/26/2016',94
'01/18/2013',71
'07/15/2011',121
'07/15/2014',52
'10/31/2014',184
'02/09/2010',31
'12/29/2010',13
'03/25/2011',66
'02/09/2013',62
'12/29/2015',72
'01/13/2012',62
'05/24/2012',75
'05/24/2011',108
'05/24/2014',274
'12/02/2012',115
'12/02/2011',85
'09/10/2010',148
'08/10/2014',525
'07/05/2010',100
'08/10/2012',86
'04/17/2014',85
'12/01/2013',171
'02/07/2014',77
'12/01/2010',51
'02/07/2013',45
'12/01/2015',66
'01/14/2013',45
'01/14/2014',36
'02/06/2015',69
'02/06/2016',154
'02/06/2013',44
'02/24/2014',60
'05/21/2015',129
'01/09/2014',40
'05/21/2013',183
'12/21/2011',44
'10/27/2015',97
'06/17/2011',107
'04/11/2013',60
'10/29/2010',104
'01/31/2014',85
'08/28/2012',63
'09/27/2011',69
'01/31/2012',29
'08/28/2014',160
'01/16/2016',192
'01/16/2013',38
'01/16/2010',110
'05/22/2014',119
'12/24/2015',187
'12/24/2010',63
'02/23/2010',30
'02/23/2013',142
'10/04/2014',343
'02/23/2016',62
'08/02/2012',88
'12/25/2014',90
'12/25/2011',57
'12/25/2012',32
'07/06/2015',204
'12/18/2010',95
'07/06/2010',66
'07/06/2013',236
'03/05/2015',70
'11/01/2012',26
'06/29/2013',290
'10/30/2014',123
'04/24/2012',56
'10/10/2015',328
'08/31/2015',151
'10/10/2012',103
'04/24/2014',91
'01/06/2015',46
'03/07/2015',157
'05/01/2010',264
'07/30/2011',170
'02/14/2013',74
'01/23/2014',35
'02/14/2016',119
'02/14/2015',151
'06/08/2012',170
'06/08/2014',598
'07/01/2011',141
'12/04/2011',120
'07/01/2012',195
'12/04/2014',102
'11/12/2014',90
'12/09/2015',126
'10/24/2013',78
'09/02/2014',103
'06/01/2012',89
'09/02/2013',207
'06/25/2012',63
'06/25/2011',214
'06/25/2014',89
'06/03/2012',185
'06/03/2011',126
'12/15/2010',41
'07/03/2012',105
'04/07/2015',136
'10/06/2010',69
'09/04/2011',248
'10/06/2013',237
'09/04/2014',106
'06/16/2015',108
'02/20/2015',89
'09/30/2014',77
'10/05/2015',149
'02/20/2016',208
'09/07/2014',376
'06/20/2015',518
'06/20/2013',158
'03/04/2012',121
'03/27/2014',72
'03/04/2011',68
'03/27/2011',76
'03/04/2014',41
'03/27/2012',33
'06/04/2015',195
'06/04/2012',64
'04/14/2015',117
'11/08/2011',54
'04/14/2010',104
'04/14/2013',189
'10/02/2011',145
'11/10/2013',221
'01/13/2014',80
'01/29/2013',39
'01/29/2014',46
'10/05/2010',64
'09/07/2013',405
'05/12/2014',197
'06/16/2010',79
'08/05/2010',78
'05/12/2011',113
'06/16/2013',512
'10/09/2015',177
'11/10/2014',98
'12/06/2011',32
'01/02/2013',35
'10/09/2013',72
'02/09/2016',47
'12/28/2013',131
'01/01/2013',62
'11/02/2010',50
'07/20/2015',134
'11/13/2010',169
'11/02/2015',124
'11/13/2015',187
'03/29/2015',217
'08/01/2014',221
'10/15/2011',168
'02/15/2015',146
'05/29/2014',137
'05/29/2011',196
'05/29/2012',93
'04/25/2014',112
'02/15/2016',55
'04/25/2012',78
'07/21/2011',47
'03/29/2012',61
'11/18/2015',122
'11/18/2010',58
'06/24/2010',85
'06/24/2015',236
'06/15/2014',632
'07/08/2010',73
'01/24/2012',51
'01/24/2011',29
'11/13/2013',50
'01/25/2010',33
'08/06/2015',226
'01/01/2010',69
'08/06/2012',77
'02/01/2010',45
'02/01/2013',66
'11/09/2012',55
'02/01/2016',74
'07/18/2013',113
'07/18/2010',148
'01/01/2015',190
'03/10/2011',49
'10/21/2015',178
'10/21/2012',130
'11/09/2015',130
'06/27/2010',137
'11/15/2011',51
'11/04/2011',70
'06/27/2013',87
'04/26/2014',238
'04/26/2011',111
'04/26/2012',72
'06/19/2010',278
'11/16/2012',77
'11/15/2012',60
'06/19/2015',314
'11/16/2015',128
'05/25/2011',101
'05/25/2012',153
'08/01/2013',60
'06/21/2012',173
'06/21/2011',256
'12/22/2010',48
'12/22/2013',157
'08/07/2010',254
'11/01/2015',335
'08/07/2013',110
'06/22/2013',401
'06/22/2010',50
'09/16/2013',89
'10/18/2011',94
'09/16/2010',65
'01/15/2012',92
'01/15/2011',76
'01/15/2014',47
'03/06/2010',153
'03/06/2013',42
'03/06/2016',199
'01/21/2011',53
'01/21/2012',80
'12/30/2013',58
'08/20/2013',101
'08/20/2010',118
'10/08/2012',82
'08/20/2015',197
'04/30/2011',145
'11/21/2013',94
'01/12/2015',48
'02/10/2015',65
'09/09/2013',83
'10/22/2013',74
'04/08/2015',82
'09/09/2010',95
'09/09/2015',102
'10/22/2015',217
'04/28/2015',258
'04/28/2012',149
'02/18/2012',111
'03/03/2014',44
'05/23/2012',104
'05/23/2014',157
'03/02/2014',172
'11/05/2013',64
'05/15/2012',55
'03/02/2012',63
'05/15/2011',135
'11/27/2015',179
'11/27/2010',82
'11/27/2013',42
'03/05/2010',64
'05/02/2010',256
'07/20/2010',94
'07/20/2013',208
'02/10/2016',72
'03/09/2014',166
'12/09/2010',54
'03/09/2011',39
'02/10/2010',19
'03/09/2012',84
'09/15/2012',328
'09/30/2012',248
'05/26/2012',248
'09/15/2011',72
'05/26/2015',224
'09/15/2014',152
'07/12/2010',78
'02/13/2012',28
'02/02/2013',109
'02/02/2014',176
'02/13/2014',27
'03/15/2014',218
'11/20/2010',117
'06/26/2014',160
'11/20/2015',200
'03/15/2012',59
'12/28/2015',70
'12/21/2012',69
'05/07/2014',105
'05/07/2011',165
'07/19/2011',89
'05/07/2012',86
'12/11/2012',54
'12/11/2011',98
'11/05/2015',148
'11/05/2010',80
'02/18/2011',89
'08/03/2014',417
'11/22/2015',259
'11/22/2012',63
'08/03/2012',121
'06/10/2012',277
'05/04/2015',245
'12/12/2011',59
'06/10/2011',96
'05/04/2010',113
'07/23/2010',86
'06/10/2014',142
'05/04/2013',235
'11/08/2014',200
'12/09/2013',41
'05/28/2010',162
'11/03/2012',52
'11/03/2011',72
'11/03/2014',91
'07/28/2011',122
'11/17/2015',91
'04/02/2014',80
'04/02/2011',101
'08/30/2012',117
'07/09/2010',117
'12/19/2014',145
'08/30/2011',80
'07/09/2015',123
'12/19/2013',60
'03/21/2011',45
'11/17/2012',97
'02/04/2013',45
'02/04/2010',66
'02/04/2015',56
'04/23/2010',153
'02/16/2012',36
'02/16/2015',66
'05/17/2015',473
'10/29/2013',51
'07/11/2014',239
'07/11/2012',91
'01/22/2011',66
'04/11/2010',214
'01/22/2014',22
'10/26/2010',76
'08/02/2014',408
'01/19/2016',35
'09/23/2015',222
'09/23/2012',255
'08/22/2014',202
'07/30/2012',104
'08/22/2011',109
'08/22/2012',89
'12/27/2012',29
'02/24/2011',58
'02/24/2012',47
'10/20/2011',91
'10/20/2014',84
'12/17/2010',70
'07/16/2013',83
'12/17/2013',49
'01/19/2010',26
'03/08/2012',135
'03/08/2011',39
'09/11/2014',122
'12/08/2011',63
'04/12/2013',79
'04/12/2015',312
'03/22/2010',44
'07/14/2013',247
'12/03/2010',62
'07/14/2010',64
'11/29/2012',52
'10/19/2012',115
'11/29/2011',27
'10/19/2015',77
'11/29/2014',190
'06/30/2015',221
'06/30/2010',70
'06/30/2013',264
'10/24/2015',350
'08/09/2012',79
'08/09/2011',43
'02/27/2016',209
'02/27/2011',103
'10/23/2013',86
'10/23/2014',86
'01/09/2012',59
'10/13/2010',81
'10/11/2015',445
'04/17/2011',98
'05/22/2012',73
'04/17/2012',121
'05/28/2015',225
'06/18/2010',193
'03/21/2014',103
'02/20/2010',122
'01/28/2010',41
'04/07/2010',105
'08/30/2014',471
'04/07/2013',141
'12/23/2014',74
'09/13/2011',60
'12/23/2011',53
'06/01/2014',556
'09/14/2010',93
'05/27/2014',170
'09/14/2015',200
'05/27/2011',147
'09/18/2015',348
'01/11/2012',48
'10/16/2010',147
'09/18/2013',128
'01/11/2011',23
'02/05/2016',89
'02/05/2011',59
'02/22/2014',155
'02/22/2011',37
'01/12/2013',111
'07/26/2013',197
'01/12/2010',20
'08/18/2012',320
'07/26/2015',432
'09/26/2014',305
'02/08/2016',69
'12/07/2013',149
'03/10/2014',81
'02/08/2013',51
'12/07/2014',241
'09/26/2012',71
'02/08/2010',36
'02/03/2013',97
'02/03/2016',64
'02/03/2015',44
'10/03/2013',132
'09/01/2012',262
'10/03/2010',195
'07/18/2015',566
'10/03/2015',233
'09/01/2014',342
'08/18/2014',190
'12/26/2014',79
'06/11/2010',144
'01/19/2015',87
'06/11/2015',265
'04/19/2015',403
'12/26/2012',31
'04/13/2013',179
